"ID","Title","Keywords","FirstLevel"
"1","Integration of Communities into Process-Oriented Structures","cooperative knowledge generation,knowledge  community,knowledge-intensive processes,process-oriented knowledge structures,Wiki","H"
"3","Small Groups Learning Synchronously Online at the Workplace: The Interaction of Factors Determining Outcome and Acceptance","professional training,workplace learning,computer-supported cooperative learning,quality assurance,empirical study","H"
"3","Small Groups Learning Synchronously Online at the Workplace: The Interaction of Factors Determining Outcome and Acceptance","professional training,workplace learning,computer-supported cooperative learning,quality assurance,empirical study","J"
"4","Using Weblogs for Knowledge Sharing and Learning in Information Spaces","Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement","A"
"4","Using Weblogs for Knowledge Sharing and Learning in Information Spaces","Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement","D"
"4","Using Weblogs for Knowledge Sharing and Learning in Information Spaces","Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement","H"
"4","Using Weblogs for Knowledge Sharing and Learning in Information Spaces","Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement","J"
"4","Using Weblogs for Knowledge Sharing and Learning in Information Spaces","Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement","K"
"5","Modelling and Implementing Pre-built Information Spaces. Architecture and Methods for Process Oriented Knowledge Management","modelling method,introduction method,context-awareness,information retrieval,ontology,collaborative filtering,business processes,knowledge management","H"
"5","Modelling and Implementing Pre-built Information Spaces. Architecture and Methods for Process Oriented Knowledge Management","modelling method,introduction method,context-awareness,information retrieval,ontology,collaborative filtering,business processes,knowledge management","I"
"5","Modelling and Implementing Pre-built Information Spaces. Architecture and Methods for Process Oriented Knowledge Management","modelling method,introduction method,context-awareness,information retrieval,ontology,collaborative filtering,business processes,knowledge management","J"
"6","Tube Map Visualization: Evaluation of a Novel Knowledge Visualization Application for the Transfer of Knowledge in Long-Term Projects","knowledge visualization,information  visualization,visual metaphor,storytelling,knowledge communication,project management","H"
"7","Reconciling Knowledge Management and Workflow Management Systems: The Activity-Based Knowledge Management Approach","workflow,knowledge management","H"
"8","A Methodology and a Toolkit that Integrate Technological, Organisational, and Human Factors to Design KM within Knowledge-Intensive Networks","knowledge management,knowledge networks,inter-organizational networked businesses,collaborative, networks","C"
"8","A Methodology and a Toolkit that Integrate Technological, Organisational, and Human Factors to Design KM within Knowledge-Intensive Networks","knowledge management,knowledge networks,inter-organizational networked businesses,collaborative, networks","I"
"9","KMDL - Capturing, Analysing and Improving Knowledge-Intensive Business Processes","Process-oriented Knowledge Management,knowledge-intensive Business Processes,Knowledge Modeling Description Language,K-Modeler","D"
